,gene,pval,qval,log2fc,mean,zero_mean,zero_variance
26695,Matr3,0.7172549985478065,0.8539757234720666,-0.0897886549688273,0.7356825948811838,False,False
6764,Topors,0.7174519750226813,0.85413391682845,-0.16848347177742293,0.1806167279439876,False,False
21657,Ubqln1,0.7184680239380385,0.8552671089105154,0.11325497803613195,0.3832598060763355,False,False
11289,Ptms,0.7187093035044751,0.855477892485493,-0.0651263718795414,2.925108827683369,False,False
23502,Cdpf1,0.7193555621284567,0.8559832305384161,0.2078931033451048,0.1145374504480068,False,False
14472,Unc5b,0.7193555621284567,0.8559832305384161,0.2078931033451048,0.1145374504480068,False,False
15405,Ankrd10,0.7193555687702526,0.8559832305384161,0.2078931033451048,0.1145374504480068,False,False
20601,Nkiras2,0.7195193353020823,0.8559832305384161,0.26036042867437353,0.08810573140167455,False,False
8585,Slc4a1ap,0.7195193424003394,0.8559832305384161,0.26036042867437353,0.08810573140167455,False,False
6504,Mcoln2,0.7195193424003394,0.8559832305384161,0.26036042867437353,0.08810573140167455,False,False
2175,Fbxw2,0.7197895753279825,0.8560287756031875,0.11888691200530273,0.3568281016685889,False,False
23271,Cyc1,0.7209496539794835,0.8560287756031875,0.0980878906829616,0.6387663386466744,False,False
13848,Rgs10,0.7210724971638471,0.8560287756031875,-0.05115875496492962,2.7533027779163244,False,False
27510,Trpm6,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
1475,Pyhin1,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
11066,Lmcd1,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
8919,Kit,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
1055,Ppp1r12b,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
17934,Nrgn,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
23779,Hoxc8,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
15713,Ankrd37,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
4830,Cldn34c1,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
25274,Trim40,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
15825,Zfp930,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
17522,Diaph3,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
24597,Rps6ka2,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
186,Sema4c,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
13171,Kctd14,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
482,Abca12,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
10771,Eva1a,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
18204,Kdelc2,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
24734,Zfp677,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
24774,Mmp25,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
7404,Skint7,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
11142,Zfand4,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
17379,Scara3,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
16370,Pdpr,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
14213,Il20ra,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
160,Arhgef4,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
24813,Ccnf,0.7214851851120763,0.8560287756031875,0.622930320017044,0.017621145074949128,False,False
5996,Nudt17,0.7216027013773237,0.8560919670926166,0.453005420241559,0.048458150304886746,False,False
13582,Far1,0.7217015403255773,0.8561193251932414,0.14759207340951006,0.2643171458254827,False,False
8612,Fam53a,0.721775684573436,0.8561193251932414,0.18480896391081497,0.19823786537552723,False,False
8420,Rsbn1l,0.7218185378590167,0.8561193251932414,0.15995801547152996,0.23788542677915048,False,False
17512,Wbp4,0.722073050171095,0.856344957043751,0.134182874532148,0.40088101867011994,False,False
26525,Svil,0.7225641888507259,0.8568511515850664,0.3010023387994617,0.07488987187850843,False,False
12839,Mphosph10,0.7228256650497722,0.857060334765934,-0.18442464637983694,0.16740088053211766,False,False
23859,1810013L24Rik,0.7228692472990168,0.857060334765934,0.15344479320004237,0.2511012986761883,False,False
6986,Klf4,0.7235357737125097,0.8577642390996842,0.1788300534569986,0.5506607081396464,False,False
15435,Tmco3,0.7235917048143324,0.8577642390996842,-0.12378416375909852,0.4052862057601828,False,False
18648,Rasa2,0.7236785479456466,0.8577908624804137,0.06676384415235365,1.6607923182096775,False,False
19165,H2afv,0.7237867360077695,0.8578427794530303,0.1778973461329817,0.7621143376249575,False,False
20766,Ddx42,0.7240386390615513,0.8579824282817183,-0.15467742521632297,0.24229073104354254,False,False
24405,Usp25,0.7240976507501495,0.8579824282817183,-0.2250663908180718,0.10572687716998719,False,False
27252,Snx15,0.7240977575320604,0.8579824282817183,-0.22506629885512114,0.10572687464269773,False,False
10803,Dctn1,0.7244296695289887,0.8582993763570224,0.14899826522030513,0.3480175018047972,False,False
368,Bzw1,0.7245942962107423,0.858418087179061,-0.09076642031459112,1.022026244764286,False,False
7981,Szrd1,0.7255196033613395,0.8594378657049103,0.1083562315714256,0.40969150037492424,False,False
17780,Keap1,0.7257746356663108,0.8595871241310539,0.26036042867437353,0.08810573140167455,False,False
22614,Ttll5,0.7257746422990486,0.8595871241310539,0.26036042867437353,0.08810573140167455,False,False
23337,Il2rb,0.7258422350046301,0.8595907641748165,-0.4766052206696001,0.05286343901167882,False,False
1223,Soat1,0.7261360280644598,0.8598622613014663,0.09686056826704084,0.6519821908505478,False,False
602,Cul3,0.726222485959725,0.8598882136901366,0.18997114667914858,0.12775330504788177,False,False
18533,Myo6,0.7264660506964844,0.8599789913898058,-0.19649711561997724,0.11894273416586384,False,False
5137,Msl3,0.7264660506964844,0.8599789913898058,-0.19649711561997724,0.11894273416586384,False,False
4914,Wbp5,0.7264927980253895,0.8599789913898058,0.08476114701721855,1.2290745563969214,False,False
16769,Samd8,0.7269502592559514,0.8604440568645203,0.13312460342600216,0.30396470243710255,False,False
5551,Trim59,0.7271559931779047,0.8606111128283933,-0.3246020720467823,0.10132159010429215,False,False
22213,Itgb1bp1,0.7276177811438813,0.8610811599022855,-0.15467755404975805,0.19383258493986427,False,False
779,Rnpepl1,0.727913679417256,0.8613548228862334,0.17547099845347158,0.2114537175794005,False,False
6939,Tex10,0.728063345049218,0.8613790583016561,0.23061313908888248,0.10132159092484067,False,False
18684,Armc8,0.7280634673523192,0.8613790583016561,0.23061302085080873,0.10132159345213013,False,False
23586,Slc38a1,0.7283973232398664,0.861697525974493,0.15826139785538235,0.32158581709021516,False,False
15430,Lamp1,0.7286146603924806,0.8618781071125827,0.08527251258082914,1.4185018886028407,False,False
14451,Sept10,0.7289006628522636,0.862063352514149,0.3010023387994617,0.07488987187850843,False,False
6019,Notch2,0.7289006729769488,0.862063352514149,0.3010023387994617,0.07488987187850843,False,False
15402,Carkd,0.7290874912168096,0.8621196960223344,-0.22506629885512114,0.10572687464269773,False,False
